T0174	lyase activity 	0.408	0.452
T0175	lyase activity 	0.24600000000000002	0.295
T0176	oxidoreductase activity 	0.003	1.16
T0177	oxidoreductase activity 	0.21899999999999997	0.6709999999999999
T0178	lyase activity 	0.2	-0.284
T0179	lyase activity 	-0.07200000000000001	-0.052000000000000005
T0180	isomerase activity 	1.006	0.37799999999999995
T0181	oxidoreductase activity 	0.077	-0.198
T0182	lyase activity 	0.258	-0.031
T0183	transferase activity 	-0.516	-0.021
T0184	NONE	0.442	0.327
T0185	lyase activity 	-0.34	-0.243
T0186	isomerase activity 	0.389	-0.5539999999999999
T0187	isomerase activity 	0.23399999999999999	0.091
T0188	NONE	-0.41700000000000004	-0.028999999999999998
T0189	hydrolase activity 	0.47100000000000003	-0.7
T0190	hydrolase activity 	1.041	0.774
T0191	enzyme regulator activity 	-0.22399999999999998	-0.182
T0192	electron transporter activity 	0.716	0.221
T0193	oxidoreductase activity 	0.061	-0.212
T0194	transferase activity 	0.008	-0.47600000000000003
T0195	transferase activity 	-0.004	-0.358
T0196	hydrolase activity 	0.293	-0.384
T0197	oxidoreductase activity 	0.7759999999999999	0.02
T0198	oxidoreductase activity 	-0.5	0.149
T0199	hydrolase activity 	-0.126	0.503
T0200	hydrolase activity 	0.38799999999999996	0.278
T0201	hydrolase activity 	0.389	0.401
T0202	hydrolase activity 	0.5379999999999999	-0.069
T0203	hydrolase activity 	-0.067	-0.21
T0204	hydrolase activity 	0.196	0.18600000000000003
T0205	hydrolase activity 	-0.391	-0.16899999999999998
T0206	hydrolase activity 	0.795	-0.324
T0207	hydrolase activity 	0.16699999999999998	0.355
T0208	hydrolase activity 	-0.037000000000000005	-0.297
T0209	hydrolase activity 	0.7240000000000001	0.682
T0210	hydrolase activity 	0.493	-0.444
T0211	ion transporter activity 	-1.575	-0.297
T0212	hydrolase activity 	-0.067	-0.9420000000000001
T0213	hydrolase activity 	0.134	-0.271
T0214	hydrolase activity 	0.043	-0.545
T0215	hydrolase activity 	0.401	0.11199999999999999
T0216	hydrolase activity 	0.971	0.295
T0217	hydrolase activity 	0.522	0.664
T0218	hydrolase activity 	0.8370000000000001	0.863
T0219	hydrolase activity 	-0.254	0.068
T0220	hydrolase activity 	0.044000000000000004	0.354
T0221	hydrolase activity 	0.228	-0.46
T0222	hydrolase activity 	0.363	-0.263
T0223	hydrolase activity 	0.48200000000000004	-0.043
T0224	hydrolase activity 	0.332	-0.24600000000000002
T0225	hydrolase activity 	1.1059999999999999	0.027999999999999997
T0226	hydrolase activity 	0.085	0.919
T0227	hydrolase activity 	0.972	0.5920000000000001
T0228	transcription regulator activity 	-0.076	0.33
T0229	transcription regulator activity 	-0.15	0.366
T0230	transcription regulator activity 	-0.11900000000000001	0.218
T0231	hydrolase activity 	-1.058	-0.55
T0232	transferase activity 	0.336	1.047
T0233	transferase activity 	0.308	0.47100000000000003
T0234	lyase activity 	-0.225	0.456
T0235	lyase activity 	-0.154	0.498
T0236	binding 	0.08800000000000001	0.371
T0237	enzyme regulator activity 	-0.861	-0.193
T0238	enzyme regulator activity 	0.045	-0.49200000000000005
T0239	enzyme regulator activity 	0.34700000000000003	-0.209
T0240	binding 	0.42700000000000005	-0.434
T0241	binding 	0.581	-0.9440000000000001
T0242	oxidoreductase activity 	-0.214	-0.128
T0243	oxidoreductase activity 	-0.342	-0.353
T0244	oxidoreductase activity 	-0.7170000000000001	-0.495
T0245	oxidoreductase activity 	-0.563	-0.37799999999999995
T0246	oxidoreductase activity 	-0.873	0.408
T0247	lyase activity 	0.345	-0.011000000000000001
T0248	hydrolase activity 	-0.257	2.021
T0249	enzyme regulator activity 	-0.41700000000000004	0.16399999999999998
T0250	ligase activity 	-0.161	0.284
T0251	hydrolase activity 	-0.37799999999999995	0.19699999999999998
T0252	hydrolase activity 	-0.26	0.867
T0253	protein binding 	0.469	0.14800000000000002
T0254	enzyme regulator activity 	1.952	0.122
T0255	binding 	0.092	-0.247
T0256	transferase activity 	0.32799999999999996	-0.011000000000000001
T0257	hydrolase activity 	0.915	0.275
T0258	transporter activity 	-2.314	1.625
T0259	channel or pore class transporter activity 	-0.698	-0.225
T0260	binding 	0.043	1.195
T0261	transcription regulator activity 	0.114	-0.688
T0262	hydrolase activity 	0.35700000000000004	0.7559999999999999
T0263	transferase activity 	0.292	0.017
T0264	transferase activity 	0.34600000000000003	-0.4
T0265	transferase activity 	-0.264	-0.28800000000000003
T0266	binding 	0.638	1.156
T0267	transferase activity 	-0.01	-0.25
T0268	binding 	0.344	-0.245
T0269	binding 	0.401	-0.35100000000000003
T0270	protein binding 	-0.395	-0.396
T0271	enzyme regulator activity 	0.174	-0.47100000000000003
T0272	binding 	-0.344	-0.228
T0273	transferase activity 	0.503	-0.358
T0274	transferase activity 	1.1320000000000001	-0.07400000000000001
T0275	hydrolase activity 	0.47200000000000003	0.239
T0276	hydrolase activity 	0.484	-0.136
T0277	hydrolase activity 	-0.253	-0.235
T0278	hydrolase activity 	0.41200000000000003	-0.025
T0279	lyase activity 	0.002	-0.499
T0280	hydrolase activity 	0.687	0.637
T0281	binding 	1.219	-0.039
T0282	binding 	0.419	-0.8079999999999999
T0283	binding 	0.401	-0.188
T0284	lyase activity 	0.195	0.195
T0285	transferase activity 	0.924	-0.511
T0286	lyase activity 	0.128	-0.265
T0287	transferase activity 	0.725	-0.462
T0288	transferase activity 	0.608	-0.556
T0289	lyase activity 	0.221	-0.4
T0290	lyase activity 	1.1340000000000001	0.01
T0291	lyase activity 	0.5329999999999999	-0.6709999999999999
T0292	lyase activity 	0.898	-0.386
T0293	oxidoreductase activity 	-0.33299999999999996	0.159
T0294	oxidoreductase activity 	-0.46	0.6779999999999999
T0295	lyase activity 	0.259	-0.33899999999999997
T0296	transferase activity 	0.568	-0.91
T0297	transferase activity 	0.49200000000000005	-0.436
T0298	transferase activity 	-0.245	0.578
T0299	transferase activity 	0.652	-0.635
T0300	lyase activity 	-0.145	-0.36700000000000005
T0301	lyase activity 	0.8190000000000001	0.705
T0302	lyase activity 	0.789	-0.259
T0303	hydrolase activity 	0.521	-0.43799999999999994
T0304	hydrolase activity 	0.27899999999999997	0.44799999999999995
T0305	hydrolase activity 	0.257	0.107
T0306	hydrolase activity 	-0.015	0.11699999999999999
T0307	oxidoreductase activity 	0.386	0.369
T0308	hydrolase activity 	1.796	1.5330000000000001
T0309	hydrolase activity 	0.39	0.057
T0310	ligase activity 	0.759	-0.722
T0311	ligase activity 	1.298	-0.374
T0312	ligase activity 	0.35700000000000004	0.272
T0313	oxidoreductase activity 	-0.598	0.593
T0314	hydrolase activity 	-0.033	0.28
T0315	lyase activity 	0.797	-0.735
T0316	hydrolase activity 	0.16699999999999998	-1.04
T0317	hydrolase activity 	0.10800000000000001	-0.254
T0318	oxidoreductase activity 	0.361	0.016
T0319	hydrolase activity 	0.669	0.24100000000000002
T0320	ligase activity 	0.787	-0.601
T0321	ligase activity 	0.535	-0.755
T0322	ligase activity 	0.5760000000000001	-0.405
T0323	hydrolase activity 	0.757	-0.32299999999999995
T0324	transferase activity 	0.065	-0.451
T0325	hydrolase activity 	0.06	0.504
