D2228	T0678
D1850	T0524
D2985	T1133
D1183	T1201
D2266	T2182
D2364	T0639
D2137	T1415
D1893	T3370
D0802	T3424
D2023	T1668
D2400	T0128
D1406	T1573
D0438	T0139
D1886	T2389
D0441	T1764
D1799	T2727
D1813	T1412
D1087	T0199
D2370	T3082
D1940	T0719
D2173	T3356
D0133	T2057
D1436	T0496
D0064	T3070
D0353	T3060
D2032	T2855
D1688	T0821
D2840	T2151
D0707	T1595
D1940	T0639
D2726	T2932
D2004	T0565
D2405	T2500
D1903	T3466
D1826	T0281
D0014	T2891
D0494	T0932
D1662	T3316
D1173	T0391
D2443	T2354
D1446	T0619
D2867	T2700
D2975	T2971
D1860	T1613
D1069	T0321
D2913	T0190
D0110	T0326
D2500	T1656
D2007	T0802
D1069	T0304
D2487	T2121
D0949	T0861
D0444	T3007
D1374	T0608
D2860	T3332
D1911	T1760
D1633	T2839
D1743	T1986
D1340	T0571
D1743	T0103
D1332	T0866
D2711	T2271
D1893	T1116
D0386	T2902
D1919	T0371
D0021	T3006
D0560	T1507
D3017	T2390
D2884	T0639
D1826	T0903
D0443	T0238
D0112	T2963
D0710	T1212
D1940	T0642
D2134	T0376
D2867	T1655
D1366	T3238
D0892	T1396
D2764	T3324
D1633	T0529
D2985	T1246
D1297	T0757
D1633	T1090
D1826	T0282
D0518	T0931
D1205	T2452
D1366	T0038
D3009	T3364
D0287	T2207
D0388	T2365
D2454	T2077
D2756	T3303
D1020	T0104
D1323	T3058
D0928	T0967
D1633	T0099
D2867	T3089
D2968	T0071
D2476	T0370
D2756	T0532
D2035	T0962
D2138	T2546
D1332	T0383
D2897	T1936
D1316	T1890
D1606	T0293
D0949	T2031
D1940	T2482
D2554	T2249
D1020	T0537
D2928	T2709
D1785	T0129
D2302	T2160
D1157	T2272
D1012	T2425
D2207	T3097
D0933	T2251
D0804	T1541
D0339	T3382
D1406	T1455
D0944	T0523
D0707	T0529
D1332	T2667
D0355	T0073
D0688	T0861
D1012	T0804
D0419	T2248
D0167	T0138
D3053	T2983
D1894	T1257
D0933	T2649
D1531	T1181
D0578	T2246
D1458	T0144
D1923	T0564
D1366	T0597
D1741	T2078
D1071	T0294
D3023	T1929
D0065	T3000
D0802	T1275
D1321	T0554
D2990	T3374
D1633	T0436
D2614	T2382
D1332	T3357
D1012	T0311
D2302	T1976
D2604	T0967
D2973	T2458
